TaskID,TaskName,resource_type,SectionID,SectionName,Completed,Client_Name,Project Name,Brand
1198853049439610,Jack Ingram Audi Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Jack Ingram Audi,Jan Build,Audi
1198708045121963,Audi Downtown LA Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Audi Downtown LA,Jan Build,Audi
1198853051056743,Fiore Audi Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Fiore Audi,Jan Build,Audi
1198853050983791,Town Audi Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Town Audi,Jan Build,Audi
1198853049209683,DCH Millburn Audi Social Build + Flip,task,1198853004427776,Social Build + Flip,False,DCH Millburn Audi,Jan Build,Audi
1198853050823314,Autohaus Lancaster Audi Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Autohaus Lancaster Audi,Jan Build,Audi
1198743354811282,Audi Danbury Social Build + Flip,task,1198853004427776,Social Build + Flip,False,Audi Danbury,Jan Build,Audi
1198708046177424,Audi Rocklin Account QC,task,1198853004429862,Account QC,False,Audi Rocklin,Jan Build,Audi
1198743356747435,Hiley Audi Huntsville Account QC,task,1198853004429862,Account QC,False,Hiley Audi Huntsville,Jan Build,Audi
1198853049506077,Audi Asheville Account QC,task,1198853004429862,Account QC,False,Audi Asheville,Jan Build,Audi
1198743356572649,Jack Ingram Audi Account QC,task,1198853004429862,Account QC,False,Jack Ingram Audi,Jan Build,Audi
1198853049915827,Audi Downtown LA Account QC,task,1198853004429862,Account QC,False,Audi Downtown LA,Jan Build,Audi
1198853050305073,Fiore Audi Account QC,task,1198853004429862,Account QC,False,Fiore Audi,Jan Build,Audi
1198853049269404,Town Audi Account QC,task,1198853004429862,Account QC,False,Town Audi,Jan Build,Audi
1198743356250308,DCH Millburn Audi Account QC,task,1198853004429862,Account QC,False,DCH Millburn Audi,Jan Build,Audi
1198708049056686,Autohaus Lancaster Audi Account QC,task,1198853004429862,Account QC,False,Autohaus Lancaster Audi,Jan Build,Audi
1198708048916700,Audi Danbury Account QC,task,1198853004429862,Account QC,False,Audi Danbury,Jan Build,Audi
1198853060393213,Audi Rocklin Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Audi Rocklin,Jan Build,Audi
1198853060314093,Hiley Audi Huntsville Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Hiley Audi Huntsville,Jan Build,Audi
1198743365574741,Audi Asheville Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Audi Asheville,Jan Build,Audi
1198853058325476,Jack Ingram Audi Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Jack Ingram Audi,Jan Build,Audi
1198853059576735,Audi Downtown LA Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Audi Downtown LA,Jan Build,Audi
1198743364952735,Fiore Audi Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Fiore Audi,Jan Build,Audi
1198708056813538,Town Audi Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Town Audi,Jan Build,Audi
1198743358007054,DCH Millburn Audi Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,DCH Millburn Audi,Jan Build,Audi
1198743361736975,Autohaus Lancaster Audi Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Autohaus Lancaster Audi,Jan Build,Audi
1198853059646727,Audi Danbury Client-Specific OEM Approval,task,1198853004432965,Client-Specific OEM Approval,False,Audi Danbury,Jan Build,Audi
1198708191857980,Audi Downtown LA Lithia Approval,task,1198853004435106,Lithia Approval,False,Audi Downtown LA,Jan Build,Audi
1198708191012991,DCH Millburn Audi Lithia Approval,task,1198853004435106,Lithia Approval,False,DCH Millburn Audi,Jan Build,Audi
1198853051907883,Audi Rocklin Alexia Link,task,1198853004440275,Alexia Link,False,Audi Rocklin,Jan Build,Audi
1198853053186299,Hiley Audi Huntsville Alexia Link,task,1198853004440275,Alexia Link,False,Hiley Audi Huntsville,Jan Build,Audi
1198708050209626,Audi Asheville Alexia Link,task,1198853004440275,Alexia Link,False,Audi Asheville,Jan Build,Audi
1198743357143843,Jack Ingram Audi Alexia Link,task,1198853004440275,Alexia Link,False,Jack Ingram Audi,Jan Build,Audi
1198853051902500,Audi Downtown LA Alexia Link,task,1198853004440275,Alexia Link,False,Audi Downtown LA,Jan Build,Audi
1198743357287404,Fiore Audi Alexia Link,task,1198853004440275,Alexia Link,False,Fiore Audi,Jan Build,Audi
1198743356040350,Town Audi Alexia Link,task,1198853004440275,Alexia Link,False,Town Audi,Jan Build,Audi
1198853051456737,DCH Millburn Audi Alexia Link,task,1198853004440275,Alexia Link,False,DCH Millburn Audi,Jan Build,Audi
1198708049373724,Autohaus Lancaster Audi Alexia Link,task,1198853004440275,Alexia Link,False,Autohaus Lancaster Audi,Jan Build,Audi
1198743356540381,Audi Danbury Alexia Link,task,1198853004440275,Alexia Link,False,Audi Danbury,Jan Build,Audi
1198853047902228,Audi Rocklin Social QC,task,1198853004440302,Social QC,False,Audi Rocklin,Jan Build,Audi
1198743356737046,Hiley Audi Huntsville Social QC,task,1198853004440302,Social QC,False,Hiley Audi Huntsville,Jan Build,Audi
1198743358397084,Audi Asheville Social QC,task,1198853004440302,Social QC,False,Audi Asheville,Jan Build,Audi
1198708046832776,Jack Ingram Audi Social QC,task,1198853004440302,Social QC,False,Jack Ingram Audi,Jan Build,Audi
1198743357863568,Audi Downtown LA Social QC,task,1198853004440302,Social QC,False,Audi Downtown LA,Jan Build,Audi
1198743358208522,Fiore Audi Social QC,task,1198853004440302,Social QC,False,Fiore Audi,Jan Build,Audi
1198743356551381,Town Audi Social QC,task,1198853004440302,Social QC,False,Town Audi,Jan Build,Audi
1198708050840997,DCH Millburn Audi Social QC,task,1198853004440302,Social QC,False,DCH Millburn Audi,Jan Build,Audi
1198853051066403,Autohaus Lancaster Audi Social QC,task,1198853004440302,Social QC,False,Autohaus Lancaster Audi,Jan Build,Audi
1198853053306365,Audi Danbury Social QC,task,1198853004440302,Social QC,False,Audi Danbury,Jan Build,Audi
1198743359639423,Audi Rocklin Budget QC,task,1198853004441350,Budget QC,False,Audi Rocklin,Jan Build,Audi
1198708048341740,Hiley Audi Huntsville Budget QC,task,1198853004441350,Budget QC,False,Hiley Audi Huntsville,Jan Build,Audi
1198853053534608,Audi Asheville Budget QC,task,1198853004441350,Budget QC,False,Audi Asheville,Jan Build,Audi
1198853054256598,Jack Ingram Audi Budget QC,task,1198853004441350,Budget QC,False,Jack Ingram Audi,Jan Build,Audi
1198743357447401,Audi Downtown LA Budget QC,task,1198853004441350,Budget QC,False,Audi Downtown LA,Jan Build,Audi
1198853054632580,Fiore Audi Budget QC,task,1198853004441350,Budget QC,False,Fiore Audi,Jan Build,Audi
1198708051737028,Town Audi Budget QC,task,1198853004441350,Budget QC,False,Town Audi,Jan Build,Audi
1198743356474170,DCH Millburn Audi Budget QC,task,1198853004441350,Budget QC,False,DCH Millburn Audi,Jan Build,Audi
1198853052305359,Autohaus Lancaster Audi Budget QC,task,1198853004441350,Budget QC,False,Autohaus Lancaster Audi,Jan Build,Audi
1198743352909023,Audi Danbury Budget QC,task,1198853004441350,Budget QC,False,Audi Danbury,Jan Build,Audi
1198743359623544,Audi Rocklin Launch,task,1198853004444453,Launch,False,Audi Rocklin,Jan Build,Audi
1198853055935274,Hiley Audi Huntsville Launch,task,1198853004444453,Launch,False,Hiley Audi Huntsville,Jan Build,Audi
1198743357946876,Audi Asheville Launch,task,1198853004444453,Launch,False,Audi Asheville,Jan Build,Audi
1198743358722406,Jack Ingram Audi Launch,task,1198853004444453,Launch,False,Jack Ingram Audi,Jan Build,Audi
1198708051650159,Audi Downtown LA Launch,task,1198853004444453,Launch,False,Audi Downtown LA,Jan Build,Audi
1198708052724939,Fiore Audi Launch,task,1198853004444453,Launch,False,Fiore Audi,Jan Build,Audi
1198743360181130,Town Audi Launch,task,1198853004444453,Launch,False,Town Audi,Jan Build,Audi
1198743358790850,DCH Millburn Audi Launch,task,1198853004444453,Launch,False,DCH Millburn Audi,Jan Build,Audi
1198708049462668,Autohaus Lancaster Audi Launch,task,1198853004444453,Launch,False,Autohaus Lancaster Audi,Jan Build,Audi
1198743359821396,Audi Danbury Launch,task,1198853004444453,Launch,False,Audi Danbury,Jan Build,Audi
1198743357945752,Audi Rocklin Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Audi Rocklin,Jan Build,Audi
1198743361525506,Hiley Audi Huntsville Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Hiley Audi Huntsville,Jan Build,Audi
1198853056490838,Audi Asheville Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Audi Asheville,Jan Build,Audi
1198743361427072,Jack Ingram Audi Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Jack Ingram Audi,Jan Build,Audi
1198708053763208,Audi Downtown LA Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Audi Downtown LA,Jan Build,Audi
1198853056571030,Fiore Audi Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Fiore Audi,Jan Build,Audi
1198853054154745,Town Audi Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Town Audi,Jan Build,Audi
1198853054658490,DCH Millburn Audi Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,DCH Millburn Audi,Jan Build,Audi
1198708048751198,Autohaus Lancaster Audi Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Autohaus Lancaster Audi,Jan Build,Audi
1198743360883782,Audi Danbury Send Dec One-Sheeters,task,1198853004445500,Send Dec One-Sheeters,False,Audi Danbury,Jan Build,Audi
1198743368531135,Keeler BMW Social Build + Flip,task,1198708006099661,Social Build + Flip,False,Keeler BMW,Jan Build,BMW
1198743369231803,BMW of the Hudson Valley Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of the Hudson Valley,Jan Build,BMW
1198708061305069,Bill Jacobs BMW Social Build + Flip,task,1198708006099661,Social Build + Flip,False,Bill Jacobs BMW,Jan Build,BMW
1198743367966994,BMW of the Main Line Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of the Main Line,Jan Build,BMW
1198708059999381,BMW Seattle Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW Seattle,Jan Build,BMW
1198743370350277,Autobahn BMW Fort Worth Social Build + Flip,task,1198708006099661,Social Build + Flip,False,Autobahn BMW Fort Worth,Jan Build,BMW
